	Neo.1	Neo.2	Neo.3	Week4.1	Week4.2	Week4.3	Year1.1	Year1.2	Month18.1	Month18.2
Tns4	0	0.0377564001215256	0	0	0.130548979658442	0.979704452922733	0.202922581562032	1.06618824143493	0.531454415061621	0.454190448565749
Tnxb	783.288873840535	817.554899589433	704.428113296643	1551.36493384423	1460.59362181855	1602.85697607576	1624.03107839927	1665.73065319242	1329.26051165141	1233.16829628847
Tob1	54.9273432314383	100.785236685664	119.751368173992	89.9156095771128	96.2382368005404	229.564287092518	66.6288589433688	72.4598615442849	168.612836352496	194.054001036927
Tob2	54.2072995546654	71.3586745348883	72.6649097286305	72.3760097923134	79.0521426071796	128.815050089913	60.8539386015148	105.113049670603	89.2420890469931	130.656387386971
Toe1	32.5500063614406	15.7581967402126	11.5372034716902	17.7613098738249	21.1376953347182	12.3076240196139	12.3392297481582	17.4529285701168	7.58971630017054	9.6599035129954
Tollip	43.3578093733056	52.3694644928518	60.1223698606438	49.7721740392078	60.5157614985894	62.548008267141	50.4957117423636	50.8677512419943	51.1761637355965	43.7181292091121
Tom1	44.9751568699419	46.9957298859968	28.6133456838275	66.6805734782163	55.3498192271019	61.9806618717507	51.7785900473343	49.4843718623093	53.321136653361	52.5111959660706
Tom1l1	1.69697884044249	1.9085427316566	4.09013326672022	5.26484905558881	4.4117586833989	3.82904442876765	2.53556273975205	3.88325585580304	6.29699942729615	7.31853752598824
Tom1l2	33.8422748450872	29.5819249702146	36.781963723727	46.2786131108771	42.6598905265223	66.0738606555222	35.1831281307955	49.5671935686262	40.5766662910791	51.8103990854452
Tomm20	38.7611272988475	38.1765877362956	41.8083060738184	25.0314355980097	22.3945600962447	28.9320938245873	29.2286178855069	28.7042005521781	28.4449869873137	29.052996394991
Tomm20l	0	0	0	0	0	0	0	0	0	0
Tomm22	118.156294780555	89.196038585433	117.2555861944	68.7319542755412	82.7857342671401	73.9455838193201	58.5561022276014	76.2281953029267	59.6457374282435	50.4611699425951
Tomm34	20.7127764525558	29.8209021082253	34.7949941819256	28.6757202972043	37.0287901145471	57.3433694114708	31.8858763600947	45.5180447040876	45.5900810843318	42.3575038504426
Tomm40	76.5173463286074	40.626317125961	51.6228287991527	48.5281566672735	49.2770484225611	54.1944438044644	39.4455998381382	33.8841455558243	40.9081747951091	47.4598575813979
Tomm40l	19.4089049089924	15.0634459697172	6.96663457749637	21.5468542419629	16.8476923162207	13.6418073070305	15.4954696343562	12.911318785273	13.0081308298988	13.7239658428209
